srun: job 13589923 queued and waiting for resources
srun: job 13589923 has been allocated resources

===== KINETIC ENERGY TABLE =====
Step   CPU Kinetic    GPU Kinetic
 118      9505.1146482441      9505.1146482440
 119      9503.3325628682      9503.3325628682
 120      9501.5553685570      9501.5553685570
 121      9499.7830066123      9499.7830066122
 122      9498.0154195229      9498.0154195228
 123      9496.2525509315      9496.2525509314
 124      9494.4943456025      9494.4943456026
 125      9492.7407493913      9492.7407493913
 126      9490.9917092135      9490.9917092135
 127      9489.2471730171      9489.2471730171
 128      9487.5070897542      9487.5070897541
 129      9485.7714093541      9485.7714093541
 130      9484.0400826977      9484.0400826976
 131      9482.3130615920      9482.3130615920
 132      9480.5902987464      9480.5902987464
 133      9478.8717477492      9478.8717477492
 134      9477.1573630447      9477.1573630447
 135      9475.4470999118      9475.4470999118
 136      9473.7409144428      9473.7409144428
 137      9472.0387635228      9472.0387635228
 138      9470.3406048102      9470.3406048102
 139      9468.6463967175      9468.6463967175
 140      9466.9560983927      9466.9560983927
 141      9465.2696697017      9465.2696697017
 142      9463.5870712107      9463.5870712107
 143      9461.9082641696      9461.9082641696
 144      9460.2332104956      9460.2332104956
 145      9458.5618727576      9458.5618727576
 146      9456.8942141608      9456.8942141608
 147      9455.2301985320      9455.2301985320
 148      9453.5697903053      9453.5697903053
 149      9451.9129545081      9451.9129545080
 150      9450.2596567476      9450.2596567476
 151      9448.6098631979      9448.6098631978
 152      9446.9635405870      9446.9635405870
 153      9445.3206561848      9445.3206561848
 154      9443.6811777909      9443.6811777910
 155      9442.0450737234      9442.0450737233
 156      9440.4123128067      9440.4123128066
 157      9438.7828643617      9438.7828643616
 158      9437.1566981943      9437.1566981943
 159      9435.5337845858      9435.5337845858
 160      9433.9140942820      9433.9140942820
 161      9432.2975984843      9432.2975984842
 162      9430.6842688393      9430.6842688393
 163      9429.0740774306      9429.0740774306
 164      9427.4669967691      9427.4669967691
 165      9425.8629997844      9425.8629997844
 166      9424.2620598165      9424.2620598165
 167      9422.6641506074      9422.6641506073
 168      9421.0692462930      9421.0692462930
 169      9419.4773213956      9419.4773213956
 170      9417.8883508158      9417.8883508158
 171      9416.3023098255      9416.3023098254
 172      9414.7191740604      9414.7191740603
 173      9413.1389195131      9413.1389195131
 174      9411.5615225263      9411.5615225263
 175      9409.9869597860      9409.9869597859
 176      9408.4152083149      9408.4152083149
 177      9406.8462454665      9406.8462454665
 178      9405.2800489183      9405.2800489183
 179      9403.7165966662      9403.7165966662
 180      9402.1558670186      9402.1558670185
 181      9400.5978385903      9400.5978385903
 182      9399.0424902976      9399.0424902976
 183      9397.4898013520      9397.4898013520
 184      9395.9397512555      9395.9397512555
 185      9394.3923197953      9394.3923197952
 186      9392.8474870383      9392.8474870383
